material_id,original_formula,M_element,composition_reduced,nsites,volume,density,density_atomic,spacegroup_symbol,spacegroup_number,crystal_system,formation_energy_per_atom,energy_above_hull,band_gap,Li_count
mp-1177302,Li5Fe2(PO4)3,Fe,Li5 Fe2 P3 O12,88,966.7583119544875,2.963328386117899,10.985889908573721,P2_1,4,Monoclinic,-2.5278763624134193,0.051412440568176,3.9183,5
mp-1101524,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,72,923.2074162765997,2.903366539840226,12.822325226063885,P2/c,13,Monoclinic,-2.248140174570105,0.07924143291666401,0.0,1
mp-1101593,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,36,459.6913861634427,2.915444581331365,12.769205171206742,C2/c,15,Monoclinic,-2.249609763181217,0.077771844305553,0.0,1
mp-26054,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,36,444.11034579091023,3.017729205313063,12.33639849419195,P-1,2,Triclinic,-2.219857162070107,0.107524445416664,0.137499999999999,1
mp-26070,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,72,857.4282570938075,3.126103553940343,11.908725792969548,P2_1/c,14,Monoclinic,-2.217951650820105,0.10942995666666501,0.019699999999999003,1
mp-26581,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,36,462.90908073987845,2.895179240668237,12.858585576107735,R-3c,167,Trigonal,-2.248456408181217,0.078925199305553,0.0,1
mp-26703,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,36,433.94424796100486,3.088426144999499,12.054006887805691,P-1,2,Triclinic,-2.216398104847885,0.11098350263888601,0.258399999999999,1
mp-540420,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,36,445.66572396352797,3.007197297911544,12.379603443431332,C2/c,15,Monoclinic,-2.2054685473478832,0.121913060138886,0.0694,1
mp-543094,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,72,932.6633963128388,2.8739302221428122,12.953658282122761,Pc,7,Monoclinic,-2.248416743736772,0.078964863749998,0.0,1
mp-697784,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,36,474.5312434460981,2.824270855470335,13.18142342905828,Cc,9,Monoclinic,-2.240043390125661,0.087338217361108,0.0,1
mp-699352,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,36,413.706198981768,3.239508530869212,11.491838860604666,C2/m,12,Monoclinic,-2.186144102625661,0.141237504861108,0.0,1
mp-759608,LiFe2(PO4)3,Fe,Li1 Fe2 P3 O12,72,950.4160262400917,2.820248657163014,13.200222586667941,P1,1,Triclinic,-2.247951873597882,0.07942973388888701,0.0,1
mp-1021510,LiGe2(PO4)3,Ge,Li1 Ge2 P3 O12,36,419.88662181104087,3.45750424032902,11.663517272528914,R-3,148,Trigonal,-2.477893766514548,0.010175076620362001,3.6307,1
mp-541272,LiGe2(PO4)3,Ge,Li1 Ge2 P3 O12,36,421.261210211341,3.446222296709382,11.70170028364836,R-3c,167,Trigonal,-2.478640178181215,0.009428664953696,3.442199999999999,1
mp-14488,Li3In2(PO4)3,In,Li3 In2 P3 O12,80,927.5173654896529,3.833924657744293,11.59396706862066,P2_1/c,14,Monoclinic,-2.583733810488095,0.002502827374999,3.8854,3
mp-6425,Li3In2(PO4)3,In,Li3 In2 P3 O12,40,485.68927967845855,3.66080933512781,12.142231991961463,R-3,148,Trigonal,-2.5862366378630943,0.0,3.8434,3
